id,kural_tamil,kural_english,meaning_tamil,meaning_english,audio_tamil_url,audio_english_url,youtube_tamil_url,youtube_english_url,section_tamil,subsection_tamil,section_english,subsection_english,uri
189,அறன்நோக்கி ஆற்றுங்கொல் வையம் புறன்நோக்கிப்\nபுன்சொல் உரைப்பான் பொறை,அறன்நோக்கி ஆற்றுங்கொல் வையம் புறன்நோக்கிப்\nபுன்சொல் உரைப்பான் பொறை,"ஒருவர்‌ நேரில்‌ இல்லாதது கண்டு பழிச்சொல்‌ கூறுவோனுடைய உடல்பாரத்தை, “இவனையும்‌ சுமப்பதே எனக்கு அறம்’ என்று கருதி நிலம்‌ சுமக்கின்றதோ?",The world through charity supports the weight of those who reproach others observing their absence.,,,,,அறத்துப்பால்,புறங்கூறாமை,virtue,Not backbiting,purankooramai-not-backbiting
190,ஏதிலார் குற்றம்போல் தங்குற்றங் காண்கிற்பின்\nதீதுண்டோ மன்னும் உயிர்க்கு,ஏதிலார் குற்றம்போல் தங்குற்றங் காண்கிற்பின்\nதீதுண்டோ மன்னும் உயிர்க்கு,"அயலாருடைய குற்றத்தைக்‌ காண்பதுபோல்‌ தம்‌ குற்றத்தையும்‌ காணவல்லவரானால்‌, நிலைபெற்ற உயிர்‌ வாழ்க்கைக்குத்‌ துன்பம்‌ உண்டோ?","If they observed their own faults as they observe the faults of others, would any evil happen to men ?",,,,,அறத்துப்பால்,புறங்கூறாமை,virtue,Not backbiting,purankooramai-not-backbiting
191,பல்லார் முனியப் பயனில சொல்லுவான்\nஎல்லாரும் எள்ளப் படும்,பல்லார் முனியப் பயனில சொல்லுவான்\nஎல்லாரும் எள்ளப் படும்,"கேட்டவர்‌ பலரும்‌ வெறுக்கும்படியாகப்‌ பயனில்லாத சொற்களைச்‌ சொல்லுகின்றவன்‌, எல்லோராலும்‌ இகழப்படுவான்‌",He who to the disgust of many speaks useless things will be despised by all.,,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
192,பயனில பல்லார்முன் சொல்லல் நயனில\nநட்டார்கண் செய்தலிற் றீது,பயனில பல்லார்முன் சொல்லல் நயனில\nநட்டார்கண் செய்தலிற் றீது,"பலர்‌ முன்னே பயனில்லாத சொற்களைச்‌ சொல்லுதல்‌, நண்பரிடத்தில்‌ அறம்‌ இல்லாத செயல்களைச்‌ செய்தலை விடத்‌ தீமையானதாகும்‌",To speak useless things in the presence of many is a greater evil than to do unkind things towards friends.,,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
193,நயனிலன் என்பது சொல்லும் பயனில\nபாரித் துரைக்கும் உரை,நயனிலன் என்பது சொல்லும் பயனில\nபாரித் துரைக்கும் உரை,"ஒருவன்‌ பயனில்லாத பொருள்களைப்‌ பற்றி விரிவாகச்‌ சொல்லும்‌ சொற்கள்‌, அவன்‌ அறம்‌ இல்லாதவன்‌ என்பதை அறிவிக்கும்‌",That conversation in which a man utters forth useless things will say of him “he is without virtue.”,,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
194,நயன்சாரா நன்மையின் நீக்கும் பயன்சாராப்\nபண்பில்சொல் பல்லா ரகத்து,நயன்சாரா நன்மையின் நீக்கும் பயன்சாராப்\nபண்பில்சொல் பல்லா ரகத்து,"பயனோடு பொருந்தாத பண்பு இல்லாத சொற்களைப்‌ பலரிடத்தும்‌ சொல்லுதல்‌, அறத்தோடு பொருந்தாமல்‌ நன்மையிலிருந்து நீங்கச்‌ செய்யும்‌","The words devoid of profit or pleasure which a man speaks will, being inconsistent with virtue, remove him from goodness.",,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
195,சீர்மை சிறப்பொடு நீங்கும் பயனில\nநீர்மை யுடையார் சொலின்,சீர்மை சிறப்பொடு நீங்கும் பயனில\nநீர்மை யுடையார் சொலின்,"பயனில்லாத சொற்களை நல்ல பண்பு உடையவர்‌ சொல்லுவாரானால்‌, அவருடைய மேம்பாடு அவர்க்குரிய மதிப்போடு நீங்கிவிடும்‌",If the good speak vain words their eminence and excellence will leave them.,,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
196,பயனில்சொல் பாராட்டு வானை மகன்எனல்\nமக்கட் பதடி யெனல்,பயனில்சொல் பாராட்டு வானை மகன்எனல்\nமக்கட் பதடி யெனல்,பயனில்லாத சொற்களைப்‌ பலமுறையும்‌ சொல்லுகின்ற ஒருவனை மனிதன்‌ என்று சொல்லக்கூடாது; மக்களுள்‌ பதர்‌ என்றே சொல்ல வேண்டும்‌,Call not him a man who parades forth his empty words. Call him the chaff of men.,,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
197,நயனில சொல்லினுஞ் சொல்லுக சான்றோர்\nபயனில சொல்லாமை நன்று,நயனில சொல்லினுஞ் சொல்லுக சான்றோர்\nபயனில சொல்லாமை நன்று,அறம்‌ இல்லாதவற்றைச்‌ சொன்னாலும்‌ சொல்லலாம்‌; சான்றோர்‌ பயனில்லாத சொற்களைச்‌ சொல்லாமல்‌ இருத்தல்‌ நன்மையாகும்‌,"Let the wise if they will, speak things without excellence; it will be well for them not to speak useless things.",,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
198,அரும்பயன் ஆயும் அறிவினார் சொல்லார்\nபெரும்பயன் இல்லாத சொல்,அரும்பயன் ஆயும் அறிவினார் சொல்லார்\nபெரும்பயன் இல்லாத சொல்,"அருமையான பயன்களை ஆராயவல்ல அறிஞர்‌, மிக்க பயன்‌ இல்லாத சொற்களை ஒருபோதும்‌ சொல்லமாட்டார்‌",The wise who seek after rare pleasures will not speak words that have not much weight in them.,,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
199,பொருள்தீர்ந்த பொச்சாந்துஞ் சொல்லார் மருள்தீர்ந்த\nமாசறு காட்சி யவர்,பொருள்தீர்ந்த பொச்சாந்துஞ் சொல்லார் மருள்தீர்ந்த\nமாசறு காட்சி யவர்,"மயக்கத்திலிருந்து தெளிந்த மாசற்ற அறிவை உடையவர்‌, பயன்‌ நீங்கிய சொற்களை ஒருகால்‌ மறந்தும்‌ சொல்லமாட்டார்‌",Those wise men who are without faults and are freed from ignorance will not even forgetfully speak things that profit not.,,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
200,சொல்லுக சொல்லிற் பயனுடைய சொல்லற்க\nசொல்லிற் பயனிலாச் சொல்,சொல்லுக சொல்லிற் பயனுடைய சொல்லற்க\nசொல்லிற் பயனிலாச் சொல்,சொற்களில்‌ பயன்‌ உடைய சொற்களை மட்டுமே சொல்லவேண்டும்‌; பயன்‌ இல்லாதவைகளாகிய சொற்களைச்‌ சொல்லவேகூடாது,"Speak what is useful, and speak not useless words.",,,,,அறத்துப்பால்,பயனில சொல்லாமை,virtue,Avoiding useless talk,payanila-solamai-avoiding-useless-talk
201,தீவினையார் அஞ்சார் விழுமியார் அஞ்சுவர்\nதீவினை என்னும் செருக்கு,தீவினையார் அஞ்சார் விழுமியார் அஞ்சுவர்\nதீவினை என்னும் செருக்கு,தீயவை செய்தலாகிய செருக்கைத்‌ தீவினை உடைய பாவிகள்‌ அஞ்சார்‌; தீவினை இல்லாத மேலோர்‌ மட்டுமே அஞ்சுவர்‌,"Those who have experience of evil deeds will not fear, but the excellent will fear the pride of sin.",,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
202,தீயவை தீய பயத்தலால் தீயவை\nதீயினும் அஞ்சப் படும்,தீயவை தீய பயத்தலால் தீயவை\nதீயினும் அஞ்சப் படும்,"தீயசெயல்கள்‌ தீமையை விளைவிக்கும்‌ தன்மை உடையனவாக இருத்தலால்‌, அத்‌ தீய செயல்கள்‌ தீயைவிடக்‌ கொடியனவாகக்‌ கருதி அஞ்சப்படும்‌","Because evil produces evil, therefore should evil be feared more than fire.",,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
203,அறிவினுள் எல்லாந் தலையென்ப தீய\nசெறுவார்க்கும் செய்யா விடல்,அறிவினுள் எல்லாந் தலையென்ப தீய\nசெறுவார்க்கும் செய்யா விடல்,"தம்மை வருத்துவோர்க்கும்‌ தீய செயல்களைச்‌ செய்யாமலிருத்தலை, அறிவு எல்லாவற்றிலும்‌ தலையான அறிவு என்று கூறுவர்‌",To do no evil to enemies will be called the chief of all virtues.,,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
204,மறந்தும் பிறன்கேடு சூழற்க சூழின்\nஅறஞ்சூழும் சூழ்ந்தவன் கேடு,மறந்தும் பிறன்கேடு சூழற்க சூழின்\nஅறஞ்சூழும் சூழ்ந்தவன் கேடு,"பிறனுக்குக்‌ கேட்டைத்‌ தரும்‌ தீய செயல்களை ஒருவன்‌ மறந்தும்‌ எண்ணக்கூடாது. எண்ணினால்‌, எண்ணியவனுக்குக்‌ கேடு விளையுமாறு அறம்‌ எண்ணும்‌",Even though forgetfulness meditate not the ruin of another. Virtue will meditate the ruin of him who thus meditates.,,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
205,இலன்என்று தீயவை செய்யற்க செய்யின்\nஇலனாகும் மற்றும் பெயர்த்து,இலன்என்று தீயவை செய்யற்க செய்யின்\nஇலனாகும் மற்றும் பெயர்த்து,“யான்‌ வறியவன்‌’ என்று நினைத்துத்‌ தீய செயல்களைச்‌ செய்யக்கூடாது; செய்தால்‌ மீண்டும்‌ வறியவன்‌ ஆகி வருந்துவான்‌,"Commit not evil, saying, “I am poor”: if you do, you will become poorer still.",,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
206,தீப்பால தான்பிறர்கண் செய்யற்க நோய்ப்பால\nதன்னை அடல்வேண்டா தான்,தீப்பால தான்பிறர்கண் செய்யற்க நோய்ப்பால\nதன்னை அடல்வேண்டா தான்,"துன்பம்‌ செய்யும்‌ தீவினைகள்‌ தன்னை வருத்துதலை விரும்பாதவன்‌, தீய செயல்களைத்‌ தான்‌ பிறர்க்குச்‌ செய்யாமலிருக்கவேண்டும்‌",Let him not do evil to others who desires not that sorrows should pursue him.,,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
207,எனைப்பகை யுற்றாரும் உய்வர் வினைப்பகை\nவீயாது பின்சென்று அடும்,எனைப்பகை யுற்றாரும் உய்வர் வினைப்பகை\nவீயாது பின்சென்று அடும்,எவ்வளவு கொடிய பகை உடையவரும்‌ தப்பி வாழ முடியும்‌; ஆனால்‌ தீயவை செய்தால்‌ வரும்‌ தீவினையாகிய பகை நீங்காமல்‌ பின்சென்று வருத்தும்‌,However great be the enmity men have incurred they may still live. The enmity of sin will incessantly pursue and kill.,,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
208,தீயவை செய்தார் கெடுதல் நிழல்தன்னை\nவீயாது அடிஉறைந் தற்று,தீயவை செய்தார் கெடுதல் நிழல்தன்னை\nவீயாது அடிஉறைந் தற்று,"தீய செயல்களைச்‌ செய்தவர்‌ கேட்டை அடைதல்‌, ஒருவனுடைய நிழல்‌ அவனை விடாமல்‌ வந்து அடியில்‌ தங்கியிருத்தலைப்‌ போன்றது",Destruction will dwell at the heels of those who commit evil even as their shadow that leaves them not.,,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
209,தன்னைத்தான் காதல னாயின் எனைத்தொன்றும்\nதுன்னற்க தீவினைப் பால்,தன்னைத்தான் காதல னாயின் எனைத்தொன்றும்\nதுன்னற்க தீவினைப் பால்,"ஒருவன்‌ தன்னைத்‌ தான்‌ விரும்பி வாழ்பவனாயின்‌, தீய செயலாகிய பகுதியை எவ்வளவு சிறியதாயினும்‌ பொருந்தாமல்‌ நீங்க வேண்டும்‌","If a man love himself, let him not commit any sin however small.",,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
210,அருங்கேடன் என்பது அறிக மருங்கோடித்\nதீவினை செய்யான் எனின்,அருங்கேடன் என்பது அறிக மருங்கோடித்\nதீவினை செய்யான் எனின்,ஒருவன்‌ தவறான நெறியில்‌ சென்று தீய செயல்‌ செய்யாதிருப்பானானால்‌ அவன்‌ கேடு இல்லாதவன்‌ என்று அறியலாம்‌,"Know ye that he is freed from destruction who commits no evil, going to neither side of the right path.",,,,,அறத்துப்பால்,தீவினையச்சம்,virtue,,
211,கைம்மாறு வேண்டா கடப்பாடு\nமாரிமாட்டு என்ஆற்றுங் கொல்லோ உலகு,கைம்மாறு வேண்டா கடப்பாடு\nமாரிமாட்டு என்ஆற்றுங் கொல்லோ உலகு,இந்த உலகத்தார்‌ தமக்கு உதவும்‌ மழைக்கு என்ன கைம்மாறு செய்கின்றனர்‌? மழை போன்றவர்‌ செய்யும்‌ உதவிகளும்‌ கைம்மாறு வேண்டாதவை,Benevolence seeks not a return. What does the world give back to the clouds ?,,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
212,தாளாற்றித் தந்த பொருளெல்லாம்\nதக்கார்க்கு வேளாண்மை செய்தற் பொருட்டு,தாளாற்றித் தந்த பொருளெல்லாம்\nதக்கார்க்கு வேளாண்மை செய்தற் பொருட்டு,ஒப்புரவாளன்‌ தன்னால்‌ இயன்ற முயற்சி செய்து சேர்த்த பொருள்‌ எல்லாம்‌ தக்கவர்க்கு உதவி செய்வதற்கே ஆகும்‌,All the wealth acquired with perseverance by the worthy is for the exercise of benevolence.,,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
213,புத்தே ளுலகத்தும் ஈண்டும் பெறலரிதே\nஒப்புரவின் நல்ல பிற,புத்தே ளுலகத்தும் ஈண்டும் பெறலரிதே\nஒப்புரவின் நல்ல பிற,பிறர்க்கு உதவி செய்து வாழும்‌ ஒப்புரவைப்போல நல்லனவாகிய வேறு அறப்பகுதிகளைத்‌ தேவருலகத்திலும்‌ இவ்வுலகத்திலும்‌ பெறுதல்‌ இயலாது,It is difficult to obtain another good equal to benevolence either in this world or in that of the gods.,,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
214,ஒத்த தறிவான் உயிர்வாழ்வான் மற்றையான்\nசெத்தாருள் வைக்கப் படும்,ஒத்த தறிவான் உயிர்வாழ்வான் மற்றையான்\nசெத்தாருள் வைக்கப் படும்,ஒப்புரவை அறிந்து போற்றிப்‌ பிறர்க்கு உதவியாக வாழ்கின்றவன்‌ உயிர்வாழ்கின்றவன்‌ ஆவான்‌; மற்றவன்‌ செத்தவருள்‌ சேர்த்துக்‌ கருதப்படுவான்‌,He truly lives who knows (and discharges) the proper duties (of benevolence). He who knows them not will be reckoned among the dead.,,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
215,ஊருணி நீர்நிறைந் தற்றே உலகவாம்\nபேரறி வாளன் திரு,ஊருணி நீர்நிறைந் தற்றே உலகவாம்\nபேரறி வாளன் திரு,"ஒப்புரவினால்‌ உலகம்‌ வாழுமாறு விரும்பும்‌ பேரறிவாளியின்‌ செல்வம்‌, ஊரார்‌ நீருண்ணும்‌ குளம்‌, நீரால்‌ நிறைந்தாற்‌ போன்றது","The wealth of that man of eminent knowledge who desires to exercise the benevolence approved of by the world, is like the full waters of a city-tank.",,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
216,பயன்மரம் உள்ளூர்ப் பழுத்தற்றால் செல்வம்\nநயனுடை யான்கண் படின்,பயன்மரம் உள்ளூர்ப் பழுத்தற்றால் செல்வம்\nநயனுடை யான்கண் படின்,"ஒப்புரவாகிய நற்பண்பு உடையவனிடம்‌ செல்வம்‌ சோந்தால்‌, அஃது ஊரின்‌ நடுவே உள்ள பயன்‌ மிகுந்த மரம்‌ பழங்கள்‌ பழுத்தாற்‌ போன்றது",The wealth of a man (possessed of the virtue) of benevolence is like the ripening of a fruitful tree in the midst of a town.,,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
217,மருந்தாகித் தப்பா மரத்தற்றால் செல்வம்\nபெருந்தகை யான்கண் படின்,மருந்தாகித் தப்பா மரத்தற்றால் செல்வம்\nபெருந்தகை யான்கண் படின்,"ஒப்புரவாகிய பெருந்தகைமை உடையவனிடம்‌ செல்வம்‌ சேர்ந்தால்‌, அஃது எல்லா உறுப்புக்களும்‌ மருந்தாகிப்‌ பயன்படத்‌ தவறாத மரம்‌ போன்றது","If wealth be in the possession of a man who has the great excellence (of benevolence), it is like a tree which as a medicine is an infallible cure for disease.",,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
218,இடனில் பருவத்தும் ஒப்புரவிற்கு ஒல்கார்\nகடனறி காட்சி யவர்,இடனில் பருவத்தும் ஒப்புரவிற்கு ஒல்கார்\nகடனறி காட்சி யவர்,"ஒப்புரவு அறிந்து ஒழுகுதலாகிய தம்‌ கடமை அறிந்த அறிவை உடையவர்‌, சொல்வளம்‌ இல்லாத காலத்திலும்‌ ஒப்புரவுக்குத்‌ தளர மாட்டார்‌",The wise who know what is duty will not scant their benevolence even when they are without wealth.,,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
219,நயனுடையான் நல்கூர்ந்தா னாதல் செயும்நீர\nசெய்யாது அமைகலா வாறு,நயனுடையான் நல்கூர்ந்தா னாதல் செயும்நீர\nசெய்யாது அமைகலா வாறு,"ஒப்புரவாகிய நற்பண்பு உடையவன்‌ வறுமை உடையவனாதல்‌, செய்யத்தக்க உதவிகளைச்‌ செய்யாமல்‌ வருந்துகின்ற தன்மையாகும்‌","The poverty of a benevolent man, is nothing but his inability to exercise the same.",,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
220,ஒப்புரவி னால்வரும் கேடெனின் அஃதொருவன்\nவிற்றுக்கோள் தக்க துடைத்து,ஒப்புரவி னால்வரும் கேடெனின் அஃதொருவன்\nவிற்றுக்கோள் தக்க துடைத்து,"ஒப்புரவால்‌ கேடு வரும்‌ என்றால்‌, அக்கேடு ஒருவன்‌ தன்னை விற்றாவது வாங்கிக்‌ கொள்ளும்‌ தகுதி உடையதாகும்‌","If it be said that loss will result from benevolence, such loss is worth being procured even by the sale of one’s self.",,,,,அறத்துப்பால்,ஒப்புரவறிதல்,virtue,,
221,வறியார்க்கொன்று ஈவதே ஈகைமற் றெல்லாம்\nகுறியெதிர்ப்பை நீர துடைத்து,வறியார்க்கொன்று ஈவதே ஈகைமற் றெல்லாம்\nகுறியெதிர்ப்பை நீர துடைத்து,வறியவர்க்கு ஒரு பொருளைக்‌ கொடுப்பதே ஈகை எனப்படுவது. மற்றவர்க்குக்‌ கொடுப்பதெல்லாம்‌ பயனை எதிர்பார்த்துக்‌ கொடுக்கும்‌ தன்மை உடையது,To give to the destitute is true charity. All other gifts have the nature of (what is done for) a measured return.,,,,,அறத்துப்பால்,ஈகை,virtue,,
222,நல்லாறு எனினும் கொளல்தீது மேலுலகம்\nஇல்லெனினும் ஈதலே நன்று,நல்லாறு எனினும் கொளல்தீது மேலுலகம்\nஇல்லெனினும் ஈதலே நன்று,பிறரிடமிருந்து பொருள்‌ பெற்றுக்‌ கொள்ளுதல்‌ நல்ல நெறி என்றாலும்‌ கொள்ளல்‌ தீமையானது. மேலுலகம்‌ இல்லையென்றாலும்‌ பிறர்க்குக்‌ கொடுப்பதே நல்லது,"To beg is evil, even though it were said that it is a good path (to heaven). To give is good, even though it were said that those who do so cannot obtain heaven.",,,,,அறத்துப்பால்,ஈகை,virtue,,
223,இலனென்னும் எவ்வம் உரையாமை ஈதல்\nகுலனுடையான் கண்ணே யுள,இலனென்னும் எவ்வம் உரையாமை ஈதல்\nகுலனுடையான் கண்ணே யுள,"யான்‌ வறியவன்‌’ என்னும்‌ துன்பச்‌ சொல்லை ஒருவன்‌ உரைப்பதற்கு முன்‌ அவனுக்கு கொடுக்கும்‌ தன்மை, நல்ல குடிப்பிறப்பு உடையவனிடம்‌ உண்டு","(Even in a low state) not to adopt the mean expedient of saying “I have nothing,” but to give, is the characteristic of the mad of noble birth.",,,,,அறத்துப்பால்,ஈகை,virtue,,
224,இன்னாது இரக்கப் படுதல் இரந்தவர்\nஇன்முகங் காணும் அளவு,இன்னாது இரக்கப் படுதல் இரந்தவர்\nஇன்முகங் காணும் அளவு,"பொருள்‌ வேண்டும்‌ என்று இரந்தவரின்‌ மகிழ்ந்த முகத்தைக்‌ காணும்‌ வரைக்கும்‌ (இரத்தலைப்‌ போலவே, இரந்து கேட்கப்படுதலும்‌ துன்பமானது","To see men begging from us in disagreeable, until we see their pleasant countenance.",,,,,அறத்துப்பால்,ஈகை,virtue,,
225,ஆற்றுவார் ஆற்றல் பசிஆற்றல் அப்பசியை\nமாற்றுவார் ஆற்றலின் பின்,ஆற்றுவார் ஆற்றல் பசிஆற்றல் அப்பசியை\nமாற்றுவார் ஆற்றலின் பின்,தவ வலிமை உடையவரின்‌ வலிமை பசியைப்‌ பொறுத்துக்‌ கொள்ளலாகும்‌. அதுவும்‌ அப்பசியை உணவு கொடுத்து மாற்றுகின்றவரின்‌ ஆற்றலுக்குப்‌ பிற்பட்டதாகும்‌,The power of those who perform penance is the power of enduring hunger. It is inferior to the power of those who remove the hunger (of others).,,,,,அறத்துப்பால்,ஈகை,virtue,,
226,அற்றார் அழிபசி தீர்த்தல் அஃதொருவன்\nபெற்றான் பொருள்வைப் புழி,அற்றார் அழிபசி தீர்த்தல் அஃதொருவன்\nபெற்றான் பொருள்வைப் புழி,வறியவரின்‌ கடும்பசியைத்‌ தீர்க்கவேண்டும்‌; அதுவே பொருள்‌ பெற்ற ஒருவன்‌ அப்பொருளைத்‌ தனக்குப்‌ பிற்காலத்தில்‌ உதவுமாறு சேர்த்து வைக்கும்‌ இடமாகும்‌,The removal of the killing hunger of the poor is the place for one to lay up his wealth.,,,,,அறத்துப்பால்,ஈகை,virtue,,
227,பாத்தூண் மரீஇ யவனைப் பசியென்னும்\nதீப்பிணி தீண்டல் அரிது,பாத்தூண் மரீஇ யவனைப் பசியென்னும்\nதீப்பிணி தீண்டல் அரிது,தான்‌ பெற்ற உணவைப்‌ பலரோடும்‌ பகுத்து உண்ணும்‌ பழக்கம்‌ உடையவனைப்‌ பசி என்று கூறப்படும்‌ தீய நோய்‌ அணுகுதல்‌ இல்லை,The fiery disease of hunger shall never touch him who habitually distributes his food to others.,,,,,அறத்துப்பால்,ஈகை,virtue,,
228,ஈத்துவக்கும் இன்பம் அறியார்கொல் தாமுடைமை\nவைத்திழக்கும் வன்க ணவர்,ஈத்துவக்கும் இன்பம் அறியார்கொல் தாமுடைமை\nவைத்திழக்கும் வன்க ணவர்,தாம்‌ சேர்த்துள்ள பொருளைப்‌ பிறர்க்குக்‌ கொடுக்காமல்‌ வைத்திருந்து பின்‌ இழந்துவிடும்‌ வன்கண்மை உடையவர்‌ பிறர்க்குக்‌ கொடுத்து மகிழும்‌ மகிழ்ச்சியை அறியாரோ?,Do the hard-eyed who lay up and lose their possessions not know the happiness which springs from the pleasure of giving ?,,,,,அறத்துப்பால்,ஈகை,virtue,,
229,இரத்தலின் இன்னாது மன்ற நிரப்பிய\nதாழே தமியர் உணல்,இரத்தலின் இன்னாது மன்ற நிரப்பிய\nதாழே தமியர் உணல்,பொருளின்‌ குறைபாட்டை நிரப்புவதற்காக உள்ளதைப்‌ பிறர்க்கு ஈயாமல்‌ தாமே தமியராய்‌ உண்பது வறுமையால்‌ இரப்பதைவிடத்‌ துன்பமானது,Solitary and unshared eating for the sake of filling up one’s own riches is certainly much more unpleasant than begging.,,,,,அறத்துப்பால்,ஈகை,virtue,,
230,சாதலின் இன்னாத தில்லை இனிததூஉம்\nஈதல் இயையாக் கடை,சாதலின் இன்னாத தில்லை இனிததூஉம்\nஈதல் இயையாக் கடை,சாவதைவிடத்‌ துன்பமானது வேறொன்றும்‌ இல்லை. ஆனால்‌ வறியவர்க்கு ஒரு பொருள்‌ கொடுக்க முடியாத நிலை வந்தபோது அச்சாதலும்‌ இனியதே ஆகும்‌,Nothing is more unpleasant than death: yet even that is pleasant where charity cannot be exercised.,,,,,அறத்துப்பால்,ஈகை,virtue,,
231,ஈதல் இசைபட வாழ்தல் அதுவல்லது\nஊதியம் இல்லை உயிர்க்கு,ஈதல் இசைபட வாழ்தல் அதுவல்லது\nஊதியம் இல்லை உயிர்க்கு,வறியவர்க்கு ஈதல்‌ வேண்டும்‌. அதனால்‌ புகழ்‌ உண்டாக வாழவேண்டும்‌. அப்புகழ்‌ அல்லாமல்‌ உயிர்க்கு ஊதியமானது வேறொன்றும்‌ இல்லை,Give to the poor and live with praise. There is no greater profit to man than that.,,,,,அறத்துப்பால்,புகழ்,virtue,,
232,உரைப்பார் உரைப்பவை எல்லாம் இரப்பார்க்கொன்று\nஈவார்மேல் நிற்கும் புகழ்,உரைப்பார் உரைப்பவை எல்லாம் இரப்பார்க்கொன்று\nஈவார்மேல் நிற்கும் புகழ்,புகழ்ந்து சொல்கின்றவர்‌ சொல்பவை எல்லாம்‌ வறுமையால்‌ இரப்பவர்க்கு ஒரு பொருள்‌ கொடுத்து உதவுகின்றவரின்‌ மேல்‌ நிற்கின்ற புகழேயாகும்‌,Whatsoever is spoken in the world will abide as praise upon that man who gives alms to the poor.,,,,,அறத்துப்பால்,புகழ்,virtue,,
233,ஒன்றா உலகத்து உயர்ந்த புகழல்லால்\nபொன்றாது நிற்பதொன் றில்,ஒன்றா உலகத்து உயர்ந்த புகழல்லால்\nபொன்றாது நிற்பதொன் றில்,உயர்ந்த புகழ்‌ அல்லாமல்‌ உலகத்தில்‌ ஒப்பற்ற ஒரு பொருளாக அழியாமல்‌ நிலைநிற்க வல்லது வேறொன்றும்‌ இல்லை,"There is nothing that stands forth in the world imperishable, except fame, exalted in solitary greatness.",,,,,அறத்துப்பால்,புகழ்,virtue,,
234,நிலவரை நீள்புகழ் ஆற்றின் புலவரைப்\nபோற்றாது புத்தேள் உலகு,நிலவரை நீள்புகழ் ஆற்றின் புலவரைப்\nபோற்றாது புத்தேள் உலகு,"நிலவுலகின்‌ எல்லையில்‌ நெடுங்காலம்‌ நிற்கவல்ல புகழைச்‌ செய்தால்‌, வானுலகம்‌ (அவ்வாறு புகழ்‌ செய்தாரைப்‌ போற்றுமே அல்லாமல்‌) தேவரைப்‌ போற்றாது","If one has acquired extensive fame within the limits of this earth, the world of the Gods will no longer praise those sages who have attained that world.",,,,,அறத்துப்பால்,புகழ்,virtue,,
235,நத்தம்போல் கேடும் உளதாகும் சாக்காடும்\nவித்தகர்க் கல்லால் அரிது,நத்தம்போல் கேடும் உளதாகும் சாக்காடும்\nவித்தகர்க் கல்லால் அரிது,"புகழுடம்பு மேம்படுதலாகும்‌ வாழ்வில்‌ கேடும்‌, புகழ்‌ நிலை நிற்பதாகும்‌ சாவும், அறிவில்‌ சிறந்தவர்க்கு அல்லாமல்‌ மற்றவர்க்கு இல்லை","Prosperity to the body of fame, resulting in poverty to the body of flesh and the stability to the former arising from the death of the latter, are achievable only by the wise.",,,,,அறத்துப்பால்,புகழ்,virtue,,
